file_num,location,latitude,longitude,budget_usd,roof_area_m2,roof_length_m,roof_breadth_m,rate_plan,panel_brand,num_evs,num_people,num_daytime_occupants
1,La_Jolla,32.8328,-117.2713,5000,25,5,5,TOU_DR,REC Group,0,2,1
2,La_Jolla,32.8328,-117.2713,5000,25,5,5,TOU_DR,Canadian Solar,0,2,1
3,La_Jolla,32.8328,-117.2713,5000,25,5,5,TOU_DR,Aiko Solar,0,2,1
4,La_Jolla,32.8328,-117.2713,10000,25,5,5,TOU_DR,REC Group,0,2,1
5,La_Jolla,32.8328,-117.2713,10000,25,5,5,TOU_DR,Canadian Solar,0,2,1
6,La_Jolla,32.8328,-117.2713,10000,25,5,5,TOU_DR,Aiko Solar,0,2,1
7,La_Jolla,32.8328,-117.2713,15000,25,5,5,TOU_DR,REC Group,0,2,1
8,La_Jolla,32.8328,-117.2713,15000,25,5,5,TOU_DR,Canadian Solar,0,2,1
9,La_Jolla,32.8328,-117.2713,15000,25,5,5,TOU_DR,Aiko Solar,0,2,1
10,La_Jolla,32.8328,-117.2713,5000,50,5,10,TOU_DR,REC Group,0,2,1
11,La_Jolla,32.8328,-117.2713,5000,50,5,10,TOU_DR,Canadian Solar,0,2,1
12,La_Jolla,32.8328,-117.2713,5000,50,5,10,TOU_DR,Aiko Solar,0,2,1
13,La_Jolla,32.8328,-117.2713,10000,50,5,10,TOU_DR,REC Group,0,2,1
14,La_Jolla,32.8328,-117.2713,10000,50,5,10,TOU_DR,Canadian Solar,0,2,1
15,La_Jolla,32.8328,-117.2713,10000,50,5,10,TOU_DR,Aiko Solar,0,2,1
16,La_Jolla,32.8328,-117.2713,15000,50,5,10,TOU_DR,REC Group,0,2,1
17,La_Jolla,32.8328,-117.2713,15000,50,5,10,TOU_DR,Canadian Solar,0,2,1
18,La_Jolla,32.8328,-117.2713,15000,50,5,10,TOU_DR,Aiko Solar,0,2,1
19,La_Jolla,32.8328,-117.2713,5000,75,5,15,TOU_DR,REC Group,0,2,1
20,La_Jolla,32.8328,-117.2713,5000,75,5,15,TOU_DR,Canadian Solar,0,2,1
21,La_Jolla,32.8328,-117.2713,5000,75,5,15,TOU_DR,Aiko Solar,0,2,1
22,La_Jolla,32.8328,-117.2713,10000,75,5,15,TOU_DR,REC Group,0,2,1
23,La_Jolla,32.8328,-117.2713,10000,75,5,15,TOU_DR,Canadian Solar,0,2,1
24,La_Jolla,32.8328,-117.2713,10000,75,5,15,TOU_DR,Aiko Solar,0,2,1
25,La_Jolla,32.8328,-117.2713,15000,75,5,15,TOU_DR,REC Group,0,2,1
26,La_Jolla,32.8328,-117.2713,15000,75,5,15,TOU_DR,Canadian Solar,0,2,1
27,La_Jolla,32.8328,-117.2713,15000,75,5,15,TOU_DR,Aiko Solar,0,2,1
28,La_Jolla,32.8328,-117.2713,5000,50,10,5,TOU_DR,REC Group,0,2,1
29,La_Jolla,32.8328,-117.2713,5000,50,10,5,TOU_DR,Canadian Solar,0,2,1
30,La_Jolla,32.8328,-117.2713,5000,50,10,5,TOU_DR,Aiko Solar,0,2,1
31,La_Jolla,32.8328,-117.2713,10000,50,10,5,TOU_DR,REC Group,0,2,1
32,La_Jolla,32.8328,-117.2713,10000,50,10,5,TOU_DR,Canadian Solar,0,2,1
33,La_Jolla,32.8328,-117.2713,10000,50,10,5,TOU_DR,Aiko Solar,0,2,1
34,La_Jolla,32.8328,-117.2713,15000,50,10,5,TOU_DR,REC Group,0,2,1
35,La_Jolla,32.8328,-117.2713,15000,50,10,5,TOU_DR,Canadian Solar,0,2,1
36,La_Jolla,32.8328,-117.2713,15000,50,10,5,TOU_DR,Aiko Solar,0,2,1
37,La_Jolla,32.8328,-117.2713,5000,100,10,10,TOU_DR,REC Group,0,2,1
38,La_Jolla,32.8328,-117.2713,5000,100,10,10,TOU_DR,Canadian Solar,0,2,1
39,La_Jolla,32.8328,-117.2713,5000,100,10,10,TOU_DR,Aiko Solar,0,2,1
40,La_Jolla,32.8328,-117.2713,10000,100,10,10,TOU_DR,REC Group,0,2,1
41,La_Jolla,32.8328,-117.2713,10000,100,10,10,TOU_DR,Canadian Solar,0,2,1
42,La_Jolla,32.8328,-117.2713,10000,100,10,10,TOU_DR,Aiko Solar,0,2,1
43,La_Jolla,32.8328,-117.2713,15000,100,10,10,TOU_DR,REC Group,0,2,1
44,La_Jolla,32.8328,-117.2713,15000,100,10,10,TOU_DR,Canadian Solar,0,2,1
45,La_Jolla,32.8328,-117.2713,15000,100,10,10,TOU_DR,Aiko Solar,0,2,1
46,La_Jolla,32.8328,-117.2713,5000,150,10,15,TOU_DR,REC Group,0,2,1
47,La_Jolla,32.8328,-117.2713,5000,150,10,15,TOU_DR,Canadian Solar,0,2,1
48,La_Jolla,32.8328,-117.2713,5000,150,10,15,TOU_DR,Aiko Solar,0,2,1
49,La_Jolla,32.8328,-117.2713,10000,150,10,15,TOU_DR,REC Group,0,2,1
50,La_Jolla,32.8328,-117.2713,10000,150,10,15,TOU_DR,Canadian Solar,0,2,1
51,La_Jolla,32.8328,-117.2713,10000,150,10,15,TOU_DR,Aiko Solar,0,2,1
52,La_Jolla,32.8328,-117.2713,15000,150,10,15,TOU_DR,REC Group,0,2,1
53,La_Jolla,32.8328,-117.2713,15000,150,10,15,TOU_DR,Canadian Solar,0,2,1
54,La_Jolla,32.8328,-117.2713,15000,150,10,15,TOU_DR,Aiko Solar,0,2,1
55,La_Jolla,32.8328,-117.2713,5000,75,15,5,TOU_DR,REC Group,0,2,1
56,La_Jolla,32.8328,-117.2713,5000,75,15,5,TOU_DR,Canadian Solar,0,2,1
57,La_Jolla,32.8328,-117.2713,5000,75,15,5,TOU_DR,Aiko Solar,0,2,1
58,La_Jolla,32.8328,-117.2713,10000,75,15,5,TOU_DR,REC Group,0,2,1
59,La_Jolla,32.8328,-117.2713,10000,75,15,5,TOU_DR,Canadian Solar,0,2,1
60,La_Jolla,32.8328,-117.2713,10000,75,15,5,TOU_DR,Aiko Solar,0,2,1
61,La_Jolla,32.8328,-117.2713,15000,75,15,5,TOU_DR,REC Group,0,2,1
62,La_Jolla,32.8328,-117.2713,15000,75,15,5,TOU_DR,Canadian Solar,0,2,1
63,La_Jolla,32.8328,-117.2713,15000,75,15,5,TOU_DR,Aiko Solar,0,2,1
64,La_Jolla,32.8328,-117.2713,5000,150,15,10,TOU_DR,REC Group,0,2,1
65,La_Jolla,32.8328,-117.2713,5000,150,15,10,TOU_DR,Canadian Solar,0,2,1
66,La_Jolla,32.8328,-117.2713,5000,150,15,10,TOU_DR,Aiko Solar,0,2,1
67,La_Jolla,32.8328,-117.2713,10000,150,15,10,TOU_DR,REC Group,0,2,1
68,La_Jolla,32.8328,-117.2713,10000,150,15,10,TOU_DR,Canadian Solar,0,2,1
69,La_Jolla,32.8328,-117.2713,10000,150,15,10,TOU_DR,Aiko Solar,0,2,1
70,La_Jolla,32.8328,-117.2713,15000,150,15,10,TOU_DR,REC Group,0,2,1
71,La_Jolla,32.8328,-117.2713,15000,150,15,10,TOU_DR,Canadian Solar,0,2,1
72,La_Jolla,32.8328,-117.2713,15000,150,15,10,TOU_DR,Aiko Solar,0,2,1
73,La_Jolla,32.8328,-117.2713,5000,225,15,15,TOU_DR,REC Group,0,2,1
74,La_Jolla,32.8328,-117.2713,5000,225,15,15,TOU_DR,Canadian Solar,0,2,1
75,La_Jolla,32.8328,-117.2713,5000,225,15,15,TOU_DR,Aiko Solar,0,2,1
76,La_Jolla,32.8328,-117.2713,10000,225,15,15,TOU_DR,REC Group,0,2,1
77,La_Jolla,32.8328,-117.2713,10000,225,15,15,TOU_DR,Canadian Solar,0,2,1
78,La_Jolla,32.8328,-117.2713,10000,225,15,15,TOU_DR,Aiko Solar,0,2,1
